resid,timestamp
39343226.24,2013/11/16
24271911.16,2013/11/17
-965627.828,2013/11/18
-69606730.48,2013/11/19
-26356592.56,2013/11/20
45415627.3,2013/11/21
-11176351.43,2013/11/22
-268745.5873,2013/11/23
4195733.995,2013/11/24
-60322310.32,2013/11/25
46313572.9,2013/11/26
-68518867.27,2013/11/27
-46785707.48,2013/11/28
-27984937.31,2013/11/29
16668236.58,2013/11/30
28879414.3,2013/12/1
127044196.1,2013/12/2
46147748.48,2013/12/3
5379818.419,2013/12/4
-6467725.733,2013/12/5
-9034324.49,2013/12/6
28011825.46,2013/12/7
5228059.15,2013/12/8
-54202284.39,2013/12/9
-53571298.4,2013/12/10
15378852.17,2013/12/11
-67357603.31,2013/12/12
-6901957.58,2013/12/13
7913085.858,2013/12/14
76043246.03,2013/12/15
-42501002.69,2013/12/16
-49103715.07,2013/12/17
-54269686.87,2013/12/18
16060616.28,2013/12/19
-47510602.18,2013/12/20
-18832101.93,2013/12/21
15106689.06,2013/12/22
-49737969.86,2013/12/23
52880626.76,2013/12/24
136257296,2013/12/25
-6508858.846,2013/12/26
20623271.72,2013/12/27
52912057.99,2013/12/28
13083181.54,2013/12/29
29029233.19,2013/12/30
4591448.371,2013/12/31
78427738.13,2014/1/1
199586880.5,2014/1/2
143111903.2,2014/1/3
37829139.61,2014/1/4
49331299.78,2014/1/5
176954287.8,2014/1/6
320354833.3,2014/1/7
3514188.476,2014/1/8
37363935.55,2014/1/9
30962303.59,2014/1/10
87366499.34,2014/1/11
63868030.83,2014/1/12
174024200.4,2014/1/13
79980818.85,2014/1/14
123431548.9,2014/1/15
124234782.8,2014/1/16
131257410.2,2014/1/17
69916161.42,2014/1/18
13533643.39,2014/1/19
55503634.46,2014/1/20
128896643.1,2014/1/21
223807494,2014/1/22
223877569.9,2014/1/23
393159940.1,2014/1/24
270838417.1,2014/1/25
350208374.9,2014/1/26
370382237.8,2014/1/27
552992833.2,2014/1/28
671125686.1,2014/1/29
-36000547.09,2014/1/30
-139877380.9,2014/1/31
-111900007.1,2014/2/1
-126408809.5,2014/2/2
-208529677.6,2014/2/3
-212735396.2,2014/2/4
-78181969.16,2014/2/5
-41886871.22,2014/2/6
345865025.3,2014/2/7
176395398.5,2014/2/8
151995522.5,2014/2/9
349048624.6,2014/2/10
516927928.2,2014/2/11
470368331.4,2014/2/12
351606922.6,2014/2/13
252446118.1,2014/2/14
68286606.67,2014/2/15
136227031,2014/2/16
402584276.4,2014/2/17
286601613.4,2014/2/18
110701381.3,2014/2/19
198869282.2,2014/2/20
110814442.4,2014/2/21
90043300.41,2014/2/22
137142930.4,2014/2/23
348029727.5,2014/2/24
251850473.2,2014/2/25
378470230.4,2014/2/26
388246955.2,2014/2/27
181005991.3,2014/2/28
166395562.1,2014/3/1
71829188.66,2014/3/2
192612874,2014/3/3
208141843.9,2014/3/4
147672086.4,2014/3/5
272861185.8,2014/3/6
128218989.7,2014/3/7
42658349.23,2014/3/8
36292900.52,2014/3/9
180589496.9,2014/3/10
110508686.6,2014/3/11
66464816.83,2014/3/12
53508608.02,2014/3/13
60161895.61,2014/3/14
83058506.09,2014/3/15
57277166.31,2014/3/16
18690966.63,2014/3/17
111963549.5,2014/3/18
45045545.59,2014/3/19
68905754.64,2014/3/20
23386844.09,2014/3/21
-15824897.76,2014/3/22
-47717162.34,2014/3/23
-10086857.82,2014/3/24
-12007407.76,2014/3/25
-43809492.13,2014/3/26
-32523154.48,2014/3/27
-35519093.42,2014/3/28
-49666500.66,2014/3/29
-11964357.16,2014/3/30
73434799.89,2014/3/31
124927104.5,2014/4/1
36702861.64,2014/4/2
63297816.75,2014/4/3
-11261477.51,2014/4/4
-9099723.062,2014/4/5
-89386672.87,2014/4/6
-129800527.6,2014/4/7
25251358.78,2014/4/8
63739334.72,2014/4/9
85185518.62,2014/4/10
-26047782.1,2014/4/11
-34349943.75,2014/4/12
-11082112.66,2014/4/13
-17110091.47,2014/4/14
99018046.26,2014/4/15
68253295.03,2014/4/16
54582474.74,2014/4/17
-24247430.15,2014/4/18
57143086.67,2014/4/19
-27447421.54,2014/4/20
-25138116.65,2014/4/21
-43581421.23,2014/4/22
-5017666.229,2014/4/23
18198540.63,2014/4/24
-41420307.12,2014/4/25
-58610538.15,2014/4/26
-70434984.45,2014/4/27
283985.5595,2014/4/28
3581905.109,2014/4/29
-56613181.77,2014/4/30
-105022989.7,2014/5/1
-134821628.8,2014/5/2
-22854015.27,2014/5/3
88199674.04,2014/5/4
48651714.45,2014/5/5
-6650709.282,2014/5/6
102985677.6,2014/5/7
97124241.36,2014/5/8
23669808.55,2014/5/9
81631234.15,2014/5/10
-30133378.52,2014/5/11
5157488.915,2014/5/12
-47094843.11,2014/5/13
-6557636.268,2014/5/14
19954837.52,2014/5/15
-23546933.29,2014/5/16
-32333418.39,2014/5/17
-45851623.74,2014/5/18
-58592476.98,2014/5/19
133894193.3,2014/5/20
-11959490.82,2014/5/21
53493329.3,2014/5/22
-3703043.195,2014/5/23
-40982827.98,2014/5/24
-41068168.02,2014/5/25
29477280.9,2014/5/26
-18757486.63,2014/5/27
-31373083.59,2014/5/28
31656840.4,2014/5/29
-24453192.66,2014/5/30
-51985921.02,2014/5/31
-22277279.63,2014/6/1
-154950279.1,2014/6/2
-44676872.93,2014/6/3
-30805645.14,2014/6/4
93389852.59,2014/6/5
52652848.72,2014/6/6
-8768550.424,2014/6/7
98642461.16,2014/6/8
55182141.85,2014/6/9
40704379.08,2014/6/10
24631678.69,2014/6/11
47948583.24,2014/6/12
-29601670.81,2014/6/13
-12760575.15,2014/6/14
-35213362.6,2014/6/15
78611450.05,2014/6/16
-40741447.77,2014/6/17
34468060.99,2014/6/18
56427876.15,2014/6/19
7292744.708,2014/6/20
-14099999.03,2014/6/21
-51876534.03,2014/6/22
-74232645.87,2014/6/23
-63404074.17,2014/6/24
-33893563.89,2014/6/25
17685078.33,2014/6/26
22231959,2014/6/27
-36033191.62,2014/6/28
-38015189.5,2014/6/29
29834843.72,2014/6/30
77815812.5,2014/7/1
88241805.85,2014/7/2
20195286.15,2014/7/3
-28156874.15,2014/7/4
-18230648.31,2014/7/5
4998080.26,2014/7/6
-29789760.06,2014/7/7
-80125727.85,2014/7/8
-16060455.31,2014/7/9
7645460.187,2014/7/10
-28885901.93,2014/7/11
-7719867.329,2014/7/12
-12559993.95,2014/7/13
-44923185.47,2014/7/14
32696910.55,2014/7/15
103077246.1,2014/7/16
-20185394.74,2014/7/17
-26342872.21,2014/7/18
27208938.01,2014/7/19
-13615167.02,2014/7/20
80623761.67,2014/7/21
-56772622.1,2014/7/22
-24094184.3,2014/7/23
6104807.449,2014/7/24
-51404119.63,2014/7/25
-52583515,2014/7/26
-36400445.63,2014/7/27
76555768.84,2014/7/28
-69505876.09,2014/7/29
-77380985.45,2014/7/30
-76952947.86,2014/7/31
144097253.1,2014/8/1
10497912.75,2014/8/2
-11724323.89,2014/8/3
37690497.57,2014/8/4
99438256.57,2014/8/5
3778260.193,2014/8/6
-18780695.24,2014/8/7
5370122.721,2014/8/8
-16078080.61,2014/8/9
76237321.86,2014/8/10
40851057.43,2014/8/11
-34599167.46,2014/8/12
-21287048.78,2014/8/13
-6476935.521,2014/8/14
18264085.13,2014/8/15
40963436.49,2014/8/16
-31075561.42,2014/8/17
10041680.03,2014/8/18
-24450687.99,2014/8/19
27823435.56,2014/8/20
-10178605.94,2014/8/21
22264017.38,2014/8/22
-30450752.59,2014/8/23
-48626804.83,2014/8/24
23347263.03,2014/8/25
18320776.12,2014/8/26
23865734.78,2014/8/27
-14635339.6,2014/8/28
45725586.4,2014/8/29
30067053.21,2014/8/30
98486841.7,2014/8/31
