ds,y,y_log
2013-11-29,122536344,18.6239182296608
2013-11-30,116865492,18.5765341903922
2013-12-01,137889992,18.7419667658007
2013-12-02,345313258,19.6599625572212
2013-12-03,268666856,19.4089827165172
2013-12-04,219456372,19.2066640099039
2013-12-05,190825287,19.0668688396435
2013-12-06,152197159,18.840687336989
2013-12-07,138882605,18.7491395659009
2013-12-08,124886903,18.6429191097097
2013-12-09,174652812,18.9783106298605
2013-12-10,179471612,19.0055276029677
2013-12-11,239916977,19.2958034922923
2013-12-12,140360007,18.759721158551
2013-12-13,164672690,18.9194703647625
2013-12-14,129045596,18.6756763572389
2013-12-15,205882387,19.1428156268141
2013-12-16,196489931,19.0961217462304
2013-12-17,193980797,19.0832697275922
2013-12-18,180215804,19.0096656018456
2013-12-19,233631357,19.2692550336427
2013-12-20,133867400,18.7123603157463
2013-12-21,112000779,18.5340163845923
2013-12-22,154543217,18.8559843368701
2013-12-23,198747367,19.1075450636122
2013-12-24,305406334,19.5371536905468
2013-12-25,380076148,19.7558821800831
2013-12-26,220287409,19.2104436562582
2013-12-27,211118967,19.1679323571955
2013-12-28,192808006,19.0772054641749
2013-12-29,161473347,18.8998506529516
2013-12-30,286358778,19.4727560511274
2013-12-31,265851934,19.3984500726672
2014-01-01,330926565,19.6174070507212
2014-01-02,434956739,19.8907571335327
2014-01-03,342074805,19.6505399991796
2014-01-04,186085910,19.0417190067634
2014-01-05,206030707,19.1435357787519
2014-01-06,442494042,19.9079375579148
2014-01-07,589726496,20.1951694212824
2014-01-08,264025160,19.3915549595998
2014-01-09,280698487,19.4527916512214
2014-01-10,237797636,19.2869306010445
2014-01-11,243403438,19.3102308633152
2014-01-12,228255344,19.2459754900897
2014-01-13,447207050,19.9185322444394
2014-01-14,356907128,19.6929861602419
2014-01-15,391408718,19.7852628865668
2014-01-16,374947083,19.7422954619774
2014-01-17,345426853,19.6602914652988
2014-01-18,233200688,19.2674099626936
2014-01-19,185082022,19.0363096469488
2014-01-20,335761027,19.6319102357174
2014-01-21,412854611,19.8386060574707
2014-01-22,498730606,20.0275766401993
2014-01-23,481450097,19.9923131431253
2014-01-24,614103894,20.2356746802663
2014-01-25,440854623,19.9042257260024
2014-01-26,528402520,20.0853688997154
2014-01-27,657199484,20.303498158978
2014-01-28,843424742,20.5529812348673
2014-01-29,952479658,20.6745793083066
2014-01-30,227916211,19.2444886237616
2014-01-31,87324175,18.2851379011462
2014-02-01,64287172,17.9788706669718
2014-02-02,57912761,17.8744483154959
2014-02-03,84329848,18.2502464291064
2014-02-04,83653646,18.242195570819
2014-02-05,209043990,19.1580552662505
2014-02-06,227860276,19.2442431745036
2014-02-07,578818221,20.1764990328757
2014-02-08,358255468,19.6967568876405
2014-02-09,341911234,19.6500617116304
2014-02-10,647465140,20.2885755122508
2014-02-11,818803205,20.5233543260085
2014-02-12,763009770,20.452781393885
2014-02-13,626698794,20.2559765908273
2014-02-14,490710434,20.0113647643352
2014-02-15,255393179,19.35831479408
2014-02-16,331324628,19.6186092019657
2014-02-17,706118060,20.3752930052732
2014-02-18,593563145,20.2016541606258
2014-02-19,408367966,19.8276792033723
2014-02-20,478925191,19.9870549657252
2014-02-21,353981687,19.6847557381215
2014-02-22,282022706,19.4574981433915
2014-02-23,337053711,19.635752855439
2014-02-24,656317045,20.3021545304613
2014-02-25,563505889,20.1496883421437
2014-02-26,680801145,20.3387808170669
2014-02-27,672909288,20.3271210910058
2014-02-28,428721754,19.8763186743909
2014-03-01,362865580,19.7095430206197
2014-03-02,276202230,19.4366438727664
2014-03-03,505305862,20.0406744712239
2014-03-04,524146340,20.0772814781045
2014-03-05,454295491,19.9342584055208
2014-03-06,561787770,20.1466347030845
2014-03-07,380139779,19.756049582522
2014-03-08,243274169,19.3096996327791
2014-03-09,244752519,19.3157581314568
2014-03-10,497338076,20.0247805862074
2014-03-11,430500816,19.8804597773006
2014-03-12,377007897,19.7477766921425
2014-03-13,346286910,19.6627782090625
2014-03-14,315897431,19.5709281334189
2014-03-15,287407002,19.4764098945692
2014-03-16,269387391,19.4116610168363
2014-03-17,339008082,19.6415345057685
2014-03-18,435479117,19.8919574013275
2014-03-19,359014064,19.6988721211727
2014-03-20,365011495,19.7154394042016
2014-03-21,282351818,19.4586644328795
2014-03-22,191700135,19.071442912241
2014-03-23,167456369,18.9362333917156
2014-03-24,313180334,19.5622897295603
2014-03-25,314345006,19.5660016859167
2014-03-26,272935544,19.4247462227085
2014-03-27,266231082,19.3998752189424
2014-03-28,225966355,19.2358966744727
2014-03-29,160250985,18.892251800392
2014-03-30,205533934,19.141121707222
2014-03-31,398884905,19.8041834745953
2014-04-01,453320585,19.9321101263073
2014-04-02,355347118,19.6886056668905
2014-04-03,363877120,19.7123267861897
2014-04-04,251895894,19.3445264410709
2014-04-05,202336542,19.1254429185495
2014-04-06,129477254,18.6790157788889
2014-04-07,196936223,19.09839049317
2014-04-08,354770149,19.6869806701364
2014-04-09,383347565,19.7644526160513
2014-04-10,386567460,19.7728169515116
2014-04-11,237829882,19.287066194545
2014-04-12,177642053,18.9952811454031
2014-04-13,208172985,19.153879950683
2014-04-14,309853269,19.551609417583
2014-04-15,428681231,19.8762241494108
2014-04-16,387847838,19.7761236505656
2014-04-17,355792647,19.6898586668779
2014-04-18,239300383,19.2932301533788
2014-04-19,268729366,19.4092153567842
2014-04-20,191259529,19.0691418542663
2014-04-21,301134667,19.5230681213313
2014-04-22,285248757,19.4688721891159
2014-04-23,313677307,19.5638753307291
2014-04-24,318358891,19.578689892418
2014-04-25,220927432,19.2133448435685
2014-04-26,151625415,18.8369236622404
2014-04-27,146837951,18.8048401625321
2014-04-28,324937272,19.5991427124346
2014-04-29,330607104,19.6164412313236
2014-04-30,260091330,19.37654339653
2014-05-01,193045106,19.0784344294078
2014-05-02,125336258,18.6465107475202
2014-05-03,185094488,19.0363769986022
2014-05-04,303087562,19.5295323052243
2014-05-05,370924149,19.7315081495342
2014-05-06,318002728,19.577570519324
2014-05-07,417327518,19.8493818863543
2014-05-08,392838756,19.7889097955652
2014-05-09,281479009,19.45556843438
2014-05-10,287240171,19.4758292565272
2014-05-11,182424063,19.0218445512454
2014-05-12,325108597,19.5996698290955
2014-05-13,275241493,19.4331594266408
2014-05-14,305474522,19.5373769353895
2014-05-15,313367089,19.5628858696087
2014-05-16,231967423,19.2621075016676
2014-05-17,170983868,18.9570797708354
2014-05-18,164419642,18.9179325103352
2014-05-19,259077930,19.372639462437
2014-05-20,453955303,19.9335092996171
2014-05-21,297799722,19.5119317447013
2014-05-22,344636549,19.6580009385349
2014-05-23,249546195,19.3351546063182
2014-05-24,160073254,18.8911421059225
2014-05-25,166943526,18.9331661455248
2014-05-26,344890868,19.6587386003168
2014-05-27,299049555,19.5161198534083
2014-05-28,276134813,19.4363997573257
2014-05-29,320549863,19.585548401007
2014-05-30,226547701,19.2384660811557
2014-05-31,146823669,18.8047428941181
2014-06-01,183489775,19.0276695018355
2014-06-02,158219402,18.8794932480029
2014-06-03,270887462,19.4172140232231
2014-06-04,274460744,19.4303187995796
2014-06-05,380042567,19.7557938228322
2014-06-06,301413900,19.5239949612087
2014-06-07,187801995,19.0508987476852
2014-06-08,302171269,19.5265045304837
2014-06-09,366114374,19.7184563398163
2014-06-10,354031597,19.684896724177
2014-06-11,327661453,19.6074914778213
2014-06-12,332365185,19.621744877193
2014-06-13,216923770,19.1950565594653
2014-06-14,181574530,19.0171767609911
2014-06-15,166080126,18.927980916612
2014-06-16,387308484,19.7747320497447
2014-06-17,270350693,19.4152305371328
2014-06-18,335262709,19.6304249884307
2014-06-19,338609087,19.640356864279
2014-06-20,251582530,19.3432816447677
2014-06-21,177999186,18.9972895352122
2014-06-22,147180819,18.807172450062
2014-06-23,232227670,19.2632287846419
2014-06-24,245450766,19.318606939262
2014-06-25,264663201,19.3939686359991
2014-06-26,297628039,19.511355073555
2014-06-27,264282703,19.3925299328624
2014-06-28,153826161,18.8513336981001
2014-06-29,158801540,18.8831658044633
2014-06-30,334054112,19.6268135497945
2014-07-01,384428753,19.7672690319509
2014-07-02,384555819,19.7675995093253
2014-07-03,297894643,19.5122504349773
2014-07-04,211649838,19.1704437595163
2014-07-05,169383796,18.9476776803531
2014-07-06,199569025,19.1116707244284
2014-07-07,272182847,19.4219846300315
2014-07-08,224240103,19.22822792415
2014-07-09,278005555,19.4431516534697
2014-07-10,283095921,19.4612963416421
2014-07-11,208671021,19.1562695075907
2014-07-12,177644343,18.9952940364118
2014-07-13,179759885,19.0071325460993
2014-07-14,254797524,19.3559797641896
2014-07-15,334810012,19.629073800553
2014-07-16,394890140,19.7941181575987
2014-07-17,253011280,19.3489446306782
2014-07-18,208959595,19.1576514658805
2014-07-19,210318023,19.1641313383798
2014-07-20,176449304,18.9885441636176
2014-07-21,378088594,19.7506391017836
2014-07-22,243084133,19.3089181677198
2014-07-23,265461894,19.3969818629218
2014-07-24,277044480,19.4396886288777
2014-07-25,181641088,19.0175432540462
2014-07-26,128268053,18.6696327962414
2014-07-27,151406251,18.8354771860942
2014-07-28,371762756,19.7337664560985
2014-07-29,228093046,19.2452642001612
2014-07-30,209917272,19.1622240682087
2014-07-31,191728916,19.0715930364946
2014-08-01,374884735,19.7421291633525
2014-08-02,189092130,19.0577449145712
2014-08-03,173825397,18.973561887853
2014-08-04,330640884,19.6165434017669
2014-08-05,394780870,19.7938414094357
2014-08-06,288821016,19.4813177324184
2014-08-07,247646474,19.3275127790615
2014-08-08,233903717,19.2704201228347
2014-08-09,160262764,18.8923253011391
2014-08-10,259534870,19.3744016253386
2014-08-11,331550471,19.6192906063784
2014-08-12,258493673,19.3703817757912
2014-08-13,261506619,19.3819701528124
2014-08-14,257702660,19.3673169976493
2014-08-15,244551620,19.3149369693399
2014-08-16,215059736,19.1864263893615
2014-08-17,149978271,18.8260009815673
2014-08-18,298499146,19.5142776298213
2014-08-19,266401973,19.4005169027592
2014-08-20,308378692,19.5468391051783
2014-08-21,251763517,19.3440007802765
2014-08-22,246316056,19.3221260497602
2014-08-23,141412027,18.7671883643867
2014-08-24,130195484,18.6845476020374
2014-08-25,309574223,19.5507084371697
2014-08-26,306945089,19.5421794263614
2014-08-27,302194801,19.5265824038164
2014-08-28,245082751,19.3171064706649
2014-08-29,267554713,19.4048346379654
2014-08-30,199708772,19.1123707233102
2014-08-31,275090213,19.4326096491078
